id,text,label
1.1.H,"Deve ser difícil ser professor de natação. Você ensina, ensina, e o aluno nada.",Trocadilho
1.1.N,"Deve ser difícil ser professor de natação . Você ensina, ensina, e o aluno não aprende.",Não trocadilho
1.2.H,Nós chamamos de meio ambiente porque já destruímos metade?,Trocadilho
1.2.N,Nós chamamos de meio ambiente porque já destruímos os lados?,Não trocadilho
1.3.H,"Se um pato perde a pata, ele fica manco ou viúvo?",Trocadilho
1.3.N,"Se um pato perde a esposa, ele fica manco ou viúvo?",Não trocadilho
1.4.H,O que uma impressora falou para a outra? Essa folha é sua ou é impressão minha?,Trocadilho
1.4.N,O que uma impressora falou para a outra? Essa folha é sua ou é alguma minha?,Não trocadilho
1.5.H,Por que a galinha bateu a cabeça contra a parede? Para ficar com um galo.,Trocadilho
1.5.N,Por que a galinha bateu a cabeça contra a parede? Para ficar com um machucado.,Não trocadilho
1.6.H,"Você sabe qual é a montanha mais limpa de todas? O vulcão. Porque primeiro solta cinzas. E depois, lava.",Trocadilho
1.6.N,"Você sabe qual é a montanha mais alta de todas? O vulcão . Porque primeiro solta cinzas . E depois, lava.",Não trocadilho
2.1.H,Sabe como chama a sorveteria do Michel Teló? Ice Te Pego.,Trocadilho
2.1.N,Sabe como chama a sorveteria do Michel Teló? Aí se eu Te Pego.,Não trocadilho
2.2.H,Quem há de nos salvar da hipotenusa? O Cateto Fantástico.,Trocadilho
2.2.N,Quem há de nos salvar da hipotenusa? O Batman.,Não trocadilho
2.3.H,Qual o contrário de papelada? Pá vestida.,Trocadilho
2.3.N,Qual o contrário de papelada? Ausência de papéis.,Não trocadilho
2.4.H,Sabe o que aconteceu com o lápis quando soube que o papel acabou? Ficou desapontado.,Trocadilho
2.4.N,Sabe o que aconteceu com o lápis quando soube que o papel acabou? Ficou subaproveitado.,Não trocadilho
2.5.H,Sabe por que não seria bom um filme só sobre números? Porque seria uma má temática.,Trocadilho
2.5.N,Sabe por que não seria bom um filme só sobre números? Porque seria uma matemática.,Não trocadilho
2.6.H,Por que o bombeiro não gosta de andar? Porque ele socorre.,Trocadilho
2.6.N,Por que o bombeiro não gosta de andar? Porque ele cansa.,Não trocadilho
2.7.H,Por que o espanador não luta caratê? Porque ele já luta capoeira.,Trocadilho
2.7.N,Por que o espanador não luta caratê? Porque ele já luta Jiu Jitsu.,Não trocadilho
2.8.H,Sabe por que o argumento do Dumbo foi completamente ignorado? Porque era irrelefante.,Trocadilho
2.8.N,Sabe por que o argumento do Dumbo foi completamente ignorado? Porque era incongruente.,Não trocadilho
2.9.H,Sabe por que um homem estava com a orelha encostada na pedra? Porque ele estava ouvindo arrocha.,Trocadilho
2.9.N,Sabe por que um homem estava com a orelha encostada na pedra? Porque ele estava ouvindo funk.,Não trocadilho
2.10.H,Como o padre bateu o carro? Dando uma rezinha.,Trocadilho
2.10.N,Como o padre bateu o carro? Dando uma ré.,Não trocadilho
