id,text,label
2.4.H,Sabe o que aconteceu com o lápis quando soube que o papel acabou? Ficou desapontado.,Trocadilho
2.4.N,Sabe o que aconteceu com o lápis quando soube que o papel acabou? Ficou subaproveitado.,Não trocadilho
3.1.H,Qual o contrário de paixão? Mãeteto.,Trocadilho
3.1.N,Qual o contrário de paixão? Indiferença.,Não trocadilho
4.13.H,Por que é que os Cristãos não conseguem manter um relacionamento? Porque Deus mandou amar o próximo.,Trocadilho
4.13.N,Por que é que as pessoas não conseguem manter um relacionamento? Porque são diferentes umas das outras.,Não trocadilho
4.16.H,Como é que o Batman engata mulheres? No bate-papo.,Trocadilho
4.16.N,Como é que o Jorge engata mulheres? No bate-papo.,Não trocadilho
4.63.H,O que é que se faz num velório de lésbicas? Um minete de silêncio.,Trocadilho
4.63.N,O que é que se faz num velório de lésbicas? Um minuto de silêncio.,Não trocadilho
4.181.H,Pessoas que tropeçam há por aí aos trambolhões.,Trocadilho
4.181.N,Pessoas que tropeçam há por aí aos montes.,Não trocadilho
4.189.H,Porque é que o peixe congelado é mais caro que o peixe fresco? Porque o congelado já inclui a sobremesa.,Trocadilho
4.189.N,Porque é que o peixe congelado é mais caro que o peixe fresco? Porque o congelado já inclui o gelo.,Não trocadilho
4.202.H,"Como é que se diz ""sexo"" em árabe? Al-coitão.",Trocadilho
4.202.N,"Como é que se diz "" sexo "" em árabe? Aljins.",Não trocadilho
4.206.H,O que diz um castor excitado? Suck my dique!,Trocadilho
4.206.N,O que diz um castor excitado? Bate os dentes,Não trocadilho
4.228.H,Como é que um brasileiro pede licença a um francês? Sai-me da french!,Trocadilho
4.228.N,Como é que um brasileiro pede licença a um francês? Sai-me do caminho!,Não trocadilho
4.231.H,Onde é que os anões se embebedam? No mini bar.,Trocadilho
4.231.N,Onde é que os anões se embebedam? No bar.,Não trocadilho
4.244.H,O Tom Cruise está à frente dum urinol durante duas horas. Qual é o filme? Micção Impossível.,Trocadilho
4.244.N,O Tom Cruise está à frente dum urinol durante duas horas . Qual é o filme? Missão Impossível.,Não trocadilho
4.250.H,Qual é a especialidade de um médico bipolar? Otorrino otochorando.,Trocadilho
4.250.N,Qual é a especialidade de um médico bipolar? Otorrinolaringologista .,Não trocadilho
4.259.H,O que é que acontece quando o Frodo morre? Passam-lhe uma certidão de Hobbit.,Trocadilho
4.259.N,O que é que acontece quando o Frodo morre? Passam-lhe uma certidão de óbito.,Não trocadilho
